"","...1","Invoice","StockCode","Description","Quantity","InvoiceDate","Price","Customer.ID","Country","Revenue","dayDifference","month","week","year","day","weekday"
"21",21,563062,"21260","FIRST AID TIN",6,2011-08-11,3.25,"17811","United Kingdom",19.5,5195,"Aug",32,2011,11,"Thursday"
"22",22,491071,"22082","RIBBON REEL STRIPES DESIGN",10,2009-12-09,1.65,"12924","United Kingdom",16.5,5805,"Dec",49,2009,9,"Wednesday"
"23",23,537769,"22158","3 HEARTS HANGING DECORATION RUSTIC",8,2010-12-08,2.95,"15021","United Kingdom",23.6,5441,"Dec",49,2010,8,"Wednesday"
"24",24,545463,"22423","REGENCY CAKESTAND 3 TIER",3,2011-03-03,12.75,"13784","United Kingdom",38.25,5356,"Mar",9,2011,3,"Thursday"
"25",25,490071,"21537","RETRO SPOTS PUDDING BOWL",4,2009-12-03,4.25,"16497","United Kingdom",17,5811,"Dec",49,2009,3,"Thursday"
"26",26,519216,"21929","JUMBO BAG PINK VINTAGE PAISLEY",10,2010-08-15,1.95,"15641","United Kingdom",19.5,5556,"Aug",33,2010,15,"Sunday"
"27",27,544447,"21592","RETROSPOT CIGAR BOX MATCHES",2,2011-02-20,1.25,"16466","United Kingdom",2.5,5367,"Feb",8,2011,20,"Sunday"
"28",28,564526,"20724","RED RETROSPOT CHARLOTTE BAG",10,2011-08-25,0.85,"15805","United Kingdom",8.5,5181,"Aug",34,2011,25,"Thursday"
"29",29,494732,"85123A","WHITE HANGING HEART T-LIGHT HOLDER",6,2010-01-18,2.95,"16670","United Kingdom",17.7,5765,"Jan",3,2010,18,"Monday"
"30",30,551351,"22488","NATURAL SLATE RECTANGLE CHALKBOARD",12,2011-04-28,1.45,"14298","United Kingdom",17.4,5300,"Apr",17,2011,28,"Thursday"
"31",31,530785,"22377","BOTTLE BAG RETROSPOT",5,2010-11-04,2.1,"17702","United Kingdom",10.5,5475,"Nov",44,2010,4,"Thursday"
"32",32,519804,"22752","SET 7 BABUSHKA NESTING BOXES",2,2010-08-20,8.5,"16332","United Kingdom",17,5551,"Aug",34,2010,20,"Friday"
"33",33,525025,"20754","RETROSPOT RED WASHING UP GLOVES",2,2010-10-03,2.1,"13838","United Kingdom",4.2,5507,"Oct",40,2010,3,"Sunday"
"34",34,576906,"85049E","SCANDINAVIAN REDS RIBBONS",24,2011-11-17,1.25,"18225","United Kingdom",30,5097,"Nov",46,2011,17,"Thursday"
"35",35,553011,"85135B","BLUE DRAGONFLY HELICOPTER",1,2011-05-12,7.95,"14390","United Kingdom",7.95,5286,"May",19,2011,12,"Thursday"
"36",36,521482,"21285","RETRO SPOT CANDLE  MEDIUM",12,2010-09-06,2.1,"15809","United Kingdom",25.2,5534,"Sep",36,2010,6,"Monday"
"37",37,496978,"21069","VINTAGE BILLBOARD TEA MUG",12,2010-02-05,1.25,"15326","United Kingdom",15,5747,"Feb",6,2010,5,"Friday"
"38",38,542717,"84520B","PACK 20 ENGLISH ROSE PAPER NAPKINS",1,2011-01-31,0.85,"17580","United Kingdom",0.85,5387,"Jan",5,2011,31,"Monday"
"39",39,503066,"21899","KEY FOB , GARAGE DESIGN",24,2010-03-30,0.65,"16570","United Kingdom",15.6,5694,"Mar",13,2010,30,"Tuesday"
"40",40,522991,"22594","CHRISTMAS GINGHAM TREE",12,2010-09-19,0.85,"13709","United Kingdom",10.2,5521,"Sep",38,2010,19,"Sunday"
"41",41,568668,"21479","WHITE SKULL HOT WATER BOTTLE",2,2011-09-28,4.25,"15750","United Kingdom",8.5,5147,"Sep",39,2011,28,"Wednesday"
"42",42,527505,"22470","HEART OF WICKER LARGE",1,2010-10-18,2.95,"17841","United Kingdom",2.95,5492,"Oct",42,2010,18,"Monday"
"43",43,510197,"21125","SET 6 FOOTBALL CELEBRATION CANDLES",1,2010-05-27,1.25,"17231","United Kingdom",1.25,5636,"May",21,2010,27,"Thursday"
"44",44,564346,"22295","HEART FILIGREE DOVE LARGE",12,2011-08-24,1.65,"15727","United Kingdom",19.8,5182,"Aug",34,2011,24,"Wednesday"
"45",45,564565,"48184","DOORMAT ENGLISH ROSE",2,2011-08-26,7.95,"14911","EIRE",15.9,5180,"Aug",34,2011,26,"Friday"
"46",46,525037,"84997A","GREEN 3 PIECE POLKADOT CUTLERY SET",24,2010-10-03,3.75,"14911","EIRE",90,5507,"Oct",40,2010,3,"Sunday"
"47",47,535956,"22829","SWEETHEART WIRE WALL TIDY",1,2010-11-29,9.95,"17756","United Kingdom",9.95,5450,"Nov",48,2010,29,"Monday"
"48",48,497226,"21485","RED SPOT HEART HOT WATER BOTTLE",2,2010-02-07,4.95,"13394","United Kingdom",9.9,5745,"Feb",6,2010,7,"Sunday"
"49",49,526852,"35961","FOLKART ZINC HEART CHRISTMAS DEC",12,2010-10-13,0.85,"15134","United Kingdom",10.2,5497,"Oct",41,2010,13,"Wednesday"
"50",50,546096,"22831","WHITE BROCANTE SOAP DISH",6,2011-03-09,2.95,"15502","United Kingdom",17.7,5350,"Mar",10,2011,9,"Wednesday"
"51",51,538184,"20979","36 PENCILS TUBE RED RETROSPOT",16,2010-12-10,1.25,"17880","United Kingdom",20,5439,"Dec",50,2010,10,"Friday"
"52",52,528640,"22114","HOT WATER BOTTLE TEA AND SYMPATHY",24,2010-10-24,3.45,"13555","United Kingdom",82.8,5486,"Oct",43,2010,24,"Sunday"
"53",53,537484,"85064","CREAM SWEETHEART LETTER RACK",4,2010-12-07,5.45,"14733","United Kingdom",21.8,5442,"Dec",49,2010,7,"Tuesday"
"54",54,517645,"22139","RETRO SPOT TEA SET CERAMIC 11 PC",12,2010-07-30,4.95,"14911","EIRE",59.4,5572,"Jul",31,2010,30,"Friday"
"55",55,571446,"22979","PANTRY WASHING UP BRUSH",48,2011-10-17,1.45,"14911","EIRE",69.6,5128,"Oct",42,2011,17,"Monday"
"56",56,568104,"21774","DECORATIVE CATS BATHROOM BOTTLE",1,2011-09-23,1.25,"16485","United Kingdom",1.25,5152,"Sep",38,2011,23,"Friday"
"57",57,541615,"22564","ALPHABET STENCIL CRAFT",5,2011-01-20,1.25,"16395","United Kingdom",6.25,5398,"Jan",3,2011,20,"Thursday"
"58",58,549546,"22666","RECIPE BOX PANTRY YELLOW DESIGN",4,2011-04-10,2.95,"16889","United Kingdom",11.8,5318,"Apr",15,2011,10,"Sunday"
"59",59,542274,"22173","METAL 4 HOOK HANGER FRENCH CHATEAU",8,2011-01-27,2.95,"16782","United Kingdom",23.6,5391,"Jan",4,2011,27,"Thursday"
"60",60,571283,"22098","BOUDOIR SQUARE TISSUE BOX",20,2011-10-16,0.39,"16533","United Kingdom",7.8,5129,"Oct",42,2011,16,"Sunday"
"61",61,521150,"22413","METAL SIGN TAKE IT OR LEAVE IT",12,2010-09-02,2.95,"13564","United Kingdom",35.4,5538,"Sep",35,2010,2,"Thursday"
"62",62,579885,"22801","ANTIQUE GLASS PEDESTAL BOWL",1,2011-11-30,3.75,"15444","United Kingdom",3.75,5084,"Nov",48,2011,30,"Wednesday"
"63",63,528621,"22468","BABUSHKA LIGHTS STRING OF 10",2,2010-10-24,6.75,"14800","United Kingdom",13.5,5486,"Oct",43,2010,24,"Sunday"
"64",64,535263,"22360","GLASS JAR ENGLISH CONFECTIONERY",2,2010-11-25,2.95,"14710","United Kingdom",5.9,5454,"Nov",47,2010,25,"Thursday"
"65",65,558058,"23093","SMALL PARISIENNE HEART PHOTO FRAME",8,2011-06-24,2.49,"14766","United Kingdom",19.92,5243,"Jun",25,2011,24,"Friday"
"66",66,498240,"21242","RED SPOTTY PLATE",16,2010-02-17,1.69,"12921","United Kingdom",27.04,5735,"Feb",7,2010,17,"Wednesday"
"67",67,538473,"21166","COOK WITH WINE METAL SIGN",4,2010-12-12,1.95,"13668","United Kingdom",7.8,5437,"Dec",50,2010,12,"Sunday"
"68",68,528470,"85173","SET/6 FROG PRINCE T-LIGHT CANDLES",1,2010-10-22,2.55,"16392","United Kingdom",2.55,5488,"Oct",43,2010,22,"Friday"
"69",69,580982,"21509","COWBOYS AND INDIANS BIRTHDAY CARD",12,2011-12-06,0.42,"17861","United Kingdom",5.04,5078,"Dec",49,2011,6,"Tuesday"
"70",70,497628,"22384","LUNCH BAG PINK RETROSPOT",2,2010-02-11,1.65,"15005","United Kingdom",3.3,5741,"Feb",6,2010,11,"Thursday"
"71",71,537153,"22489","PACK OF 12 TRADITIONAL CRAYONS",10,2010-12-05,0.42,"16718","United Kingdom",4.2,5444,"Dec",49,2010,5,"Sunday"
"72",72,494871,"21644","ASSORTED TUTTI FRUTTI HEART BOX",36,2010-01-19,1.25,"17706","United Kingdom",45,5764,"Jan",3,2010,19,"Tuesday"
"73",73,501010,"21688","SILVER PLATE CANDLE BOWL SMALL",4,2010-03-11,2.95,"13715","United Kingdom",11.8,5713,"Mar",10,2010,11,"Thursday"
"74",74,529351,"22909","SET OF 20 VINTAGE CHRISTMAS NAPKINS",12,2010-10-28,0.85,"12766","Portugal",10.2,5482,"Oct",43,2010,28,"Thursday"
"75",75,490473,"21687","SILVER PLATE CANDLE BOWL LARGE",2,2009-12-06,3.75,"15860","United Kingdom",7.5,5808,"Dec",49,2009,6,"Sunday"
"76",76,577057,"22328","ROUND SNACK BOXES SET OF 4 FRUITS",1,2011-11-17,2.95,"12748","United Kingdom",2.95,5097,"Nov",46,2011,17,"Thursday"
"77",77,520041,"22629","SPACEBOY LUNCH BOX",12,2010-08-23,1.95,"13081","United Kingdom",23.4,5548,"Aug",34,2010,23,"Monday"
"78",78,539957,"22616","PACK OF 12 LONDON TISSUES",24,2010-12-23,0.29,"12585","Germany",6.96,5426,"Dec",51,2010,23,"Thursday"
"79",79,512766,"85174","S/4 CACTI CANDLES",1,2010-06-17,4.95,"13077","United Kingdom",4.95,5615,"Jun",24,2010,17,"Thursday"
"80",80,529935,"22297","HEART IVORY TRELLIS SMALL",1,2010-10-31,1.25,"17449","United Kingdom",1.25,5479,"Oct",44,2010,31,"Sunday"
"81",81,567180,"22632","HAND WARMER RED RETROSPOT",2,2011-09-18,2.1,"17802","United Kingdom",4.2,5157,"Sep",38,2011,18,"Sunday"
"82",82,562460,"23201","JUMBO BAG ALPHABET",1,2011-08-05,2.08,"17841","United Kingdom",2.08,5201,"Aug",31,2011,5,"Friday"
"83",83,563926,"21221","SET/4 BADGES CUTE CREATURES",10,2011-08-21,1.25,"12553","France",12.5,5185,"Aug",34,2011,21,"Sunday"
"84",84,500381,"85206B","PINK FELT EASTER EGG BASKET",6,2010-03-08,1.65,"13148","United Kingdom",9.9,5716,"Mar",10,2010,8,"Monday"
"85",85,490002,"17164D","ASS COL SMALL SAND FROG P'WEIGHT",4,2009-12-03,0.42,"17322","United Kingdom",1.68,5811,"Dec",49,2009,3,"Thursday"
"86",86,490312,"22139","RETRO SPOT TEA SET CERAMIC 11 PC",4,2009-12-04,4.95,"17961","United Kingdom",19.8,5810,"Dec",49,2009,4,"Friday"
"87",87,567470,"85123A","WHITE HANGING HEART T-LIGHT HOLDER",15,2011-09-20,2.95,"16624","United Kingdom",44.25,5155,"Sep",38,2011,20,"Tuesday"
"88",88,536813,"35957","SMALLFOLKART BAUBLE CHRISTMAS DEC",48,2010-12-02,0.42,"15646","United Kingdom",20.16,5447,"Dec",48,2010,2,"Thursday"
"89",89,498564,"21865","PINK UNION JACK  PASSPORT COVER",1,2010-02-21,2.1,"14505","United Kingdom",2.1,5731,"Feb",8,2010,21,"Sunday"
"90",90,572227,"23395","BELLE JARDINIERE CUSHION COVER",2,2011-10-21,3.75,"15051","United Kingdom",7.5,5124,"Oct",42,2011,21,"Friday"
"91",91,560033,"22910","PAPER CHAIN KIT VINTAGE CHRISTMAS",6,2011-07-14,2.95,"12388","Australia",17.7,5223,"Jul",28,2011,14,"Thursday"
"92",92,572567,"22416","SET OF 36 DOILIES SPACEBOY DESIGN",12,2011-10-25,1.45,"12398","Switzerland",17.4,5120,"Oct",43,2011,25,"Tuesday"
"93",93,538852,"22722","SET OF 6 SPICE TINS PANTRY DESIGN",1,2010-12-14,3.95,"17372","United Kingdom",3.95,5435,"Dec",50,2010,14,"Tuesday"
"94",94,500252,"22417","PACK OF 60 SPACEBOY CAKE CASES",48,2010-03-05,0.55,"15607","United Kingdom",26.4,5719,"Mar",10,2010,5,"Friday"
"95",95,562581,"23237","SET OF 4 KNICK KNACK TINS LEAF",2,2011-08-07,4.15,"15860","United Kingdom",8.3,5199,"Aug",32,2011,7,"Sunday"
"96",96,521496,"22757","LARGE RED BABUSHKA NOTEBOOK",12,2010-09-06,1.25,"12510","Spain",15,5534,"Sep",36,2010,6,"Monday"
"97",97,539395,"22752","SET 7 BABUSHKA NESTING BOXES",6,2010-12-17,8.5,"12471","Germany",51,5432,"Dec",51,2010,17,"Friday"
"98",98,535815,"85152","HAND OVER THE CHOCOLATE   SIGN",2,2010-11-28,2.1,"16356","United Kingdom",4.2,5451,"Nov",48,2010,28,"Sunday"
"99",99,512847,"84837","WHITE SWEETHEARTS CABINET 4 DRAWERS",1,2010-06-18,12.75,"18170","United Kingdom",12.75,5614,"Jun",25,2010,18,"Friday"
"100",100,507376,"21056","DOCTOR'S BAG SOFT TOY",1,2010-05-09,8.95,"13979","United Kingdom",8.95,5654,"May",19,2010,9,"Sunday"
"101",101,570964,"23320","GIANT 50'S CHRISTMAS CRACKER",12,2011-10-13,2.89,"12766","Portugal",34.68,5132,"Oct",41,2011,13,"Thursday"
"102",102,581006,"23209","LUNCH BAG VINTAGE DOILY",10,2011-12-07,1.65,"14911","EIRE",16.5,5077,"Dec",49,2011,7,"Wednesday"
"103",103,567385,"22950","36 DOILIES VINTAGE CHRISTMAS",288,2011-09-20,1.45,"14866","United Kingdom",417.6,5155,"Sep",38,2011,20,"Tuesday"
"104",104,516567,"21410","COUNTRY COTTAGE  DOORSTOP GREEN",2,2010-07-21,4.25,"16529","United Kingdom",8.5,5581,"Jul",29,2010,21,"Wednesday"
"105",105,528742,"21154","RED RETROSPOT OVEN GLOVE",6,2010-10-24,1.25,"13118","United Kingdom",7.5,5486,"Oct",43,2010,24,"Sunday"
"106",106,522052,"22666","RECIPE BOX PANTRY YELLOW DESIGN",6,2010-09-10,2.95,"13319","United Kingdom",17.7,5530,"Sep",37,2010,10,"Friday"
"107",107,505142,"21175","GIN + TONIC DIET METAL SIGN",12,2010-04-20,2.1,"17138","United Kingdom",25.2,5673,"Apr",16,2010,20,"Tuesday"
"108",108,551281,"20723","STRAWBERRY CHARLOTTE BAG",10,2011-04-27,0.85,"13571","United Kingdom",8.5,5301,"Apr",17,2011,27,"Wednesday"
"109",109,540640,"85099B","JUMBO BAG RED RETROSPOT",3,2011-01-10,1.95,"14527","United Kingdom",5.85,5408,"Jan",2,2011,10,"Monday"
"110",110,554015,"20724","RED RETROSPOT CHARLOTTE BAG",10,2011-05-20,0.85,"17644","United Kingdom",8.5,5278,"May",20,2011,20,"Friday"
"111",111,494866,"22262","FELT EGG COSY CHICKEN",1,2010-01-19,0.85,"16253","United Kingdom",0.85,5764,"Jan",3,2010,19,"Tuesday"
"112",112,575726,"20727","LUNCH BAG  BLACK SKULL.",1,2011-11-10,1.65,"16791","United Kingdom",1.65,5104,"Nov",45,2011,10,"Thursday"
"113",113,507640,"22558","CLOTHES PEGS RETROSPOT PACK 24",12,2010-05-10,1.25,"13319","United Kingdom",15,5653,"May",19,2010,10,"Monday"
"114",114,551982,"85099B","JUMBO BAG RED RETROSPOT",2,2011-05-05,2.08,"15023","United Kingdom",4.16,5293,"May",18,2011,5,"Thursday"
"115",115,550196,"84991","60 TEATIME FAIRY CAKE CASES",6,2011-04-15,0.55,"14796","United Kingdom",3.3,5313,"Apr",15,2011,15,"Friday"
"116",116,550834,"21977","PACK OF 60 PINK PAISLEY CAKE CASES",2,2011-04-21,0.55,"14730","United Kingdom",1.1,5307,"Apr",16,2011,21,"Thursday"
"117",117,492204,"21977","PACK OF 60 PINK PAISLEY CAKE CASES",24,2009-12-15,0.55,"15785","United Kingdom",13.2,5799,"Dec",50,2009,15,"Tuesday"
"118",118,534003,"85018D","YULETIDE IMAGES S/6 PAPER BOXES",5,2010-11-19,2.55,"17589","United Kingdom",12.75,5460,"Nov",47,2010,19,"Friday"
"119",119,498762,"16161E","WRAP BOUDOIR",50,2010-02-22,0.1,"14081","United Kingdom",5,5730,"Feb",8,2010,22,"Monday"
"120",120,502327,"22283","6 EGG HOUSE PAINTED WOOD",4,2010-03-24,7.95,"13252","United Kingdom",31.8,5700,"Mar",12,2010,24,"Wednesday"
"121",121,579091,"23202","JUMBO BAG VINTAGE LEAF",10,2011-11-28,2.08,"14893","United Kingdom",20.8,5086,"Nov",48,2011,28,"Monday"
"122",122,545928,"71279","PINK GLASS CANDLEHOLDER",6,2011-03-08,2.95,"14407","United Kingdom",17.7,5351,"Mar",10,2011,8,"Tuesday"
"123",123,545708,"84879","ASSORTED COLOUR BIRD ORNAMENT",8,2011-03-07,1.69,"14915","United Kingdom",13.52,5352,"Mar",10,2011,7,"Monday"
"124",124,573904,"23353","6 GIFT TAGS VINTAGE CHRISTMAS",3,2011-11-01,0.83,"14505","United Kingdom",2.49,5113,"Nov",44,2011,1,"Tuesday"
"125",125,526028,"20725","LUNCH BAG RED RETROSPOT",1,2010-10-08,1.65,"16549","United Kingdom",1.65,5502,"Oct",41,2010,8,"Friday"
"126",126,520508,"84782C","GREEN 3 TIER GLASS PLATE STAND",8,2010-08-26,3.95,"13802","United Kingdom",31.6,5545,"Aug",34,2010,26,"Thursday"
"127",127,543179,"22268","EASTER DECORATION SITTING BUNNY",1,2011-02-04,0.85,"12754","Japan",0.85,5383,"Feb",5,2011,4,"Friday"
"128",128,532976,"21644","ASSORTED TUTTI FRUTTI HEART BOX",12,2010-11-15,1.25,"16919","United Kingdom",15,5464,"Nov",46,2010,15,"Monday"
"129",129,571433,"22966","GINGERBREAD MAN COOKIE CUTTER",12,2011-10-17,1.25,"13015","United Kingdom",15,5128,"Oct",42,2011,17,"Monday"
"130",130,506821,"85214","TUB 24 PINK FLOWER PEGS",12,2010-05-04,1.65,"17644","United Kingdom",19.8,5659,"May",18,2010,4,"Tuesday"
"131",131,581133,"22754","SMALL RED BABUSHKA NOTEBOOK",24,2011-12-07,0.21,"14904","United Kingdom",5.04,5077,"Dec",49,2011,7,"Wednesday"
"132",132,513956,"47556B","TEA TIME TEA TOWELS",8,2010-06-29,2.95,"15808","United Kingdom",23.6,5603,"Jun",26,2010,29,"Tuesday"
"133",133,551274,"21770","OPEN CLOSED METAL SIGN",2,2011-04-27,4.95,"14235","United Kingdom",9.9,5301,"Apr",17,2011,27,"Wednesday"
"134",134,567720,"85049E","SCANDINAVIAN REDS RIBBONS",12,2011-09-22,1.25,"14911","EIRE",15,5153,"Sep",38,2011,22,"Thursday"
"135",135,519508,"21704","BAG 250g SWIRLY MARBLES",12,2010-08-17,0.85,"15072","United Kingdom",10.2,5554,"Aug",33,2010,17,"Tuesday"
"136",136,509601,"22382","LUNCH BAG SPACEBOY DESIGN",1,2010-05-24,1.65,"13201","United Kingdom",1.65,5639,"May",21,2010,24,"Monday"
"137",137,490899,"84032B","CHARLIE + LOLA RED HOT WATER BOTTLE",6,2009-12-08,2.95,"16732","United Kingdom",17.7,5806,"Dec",49,2009,8,"Tuesday"
"138",138,566951,"22113","GREY HEART HOT WATER BOTTLE",4,2011-09-15,4.25,"17293","United Kingdom",17,5160,"Sep",37,2011,15,"Thursday"
"139",139,525082,"21495","SKULLS AND CROSSBONES WRAP",25,2010-10-03,0.42,"14455","United Kingdom",10.5,5507,"Oct",40,2010,3,"Sunday"
"140",140,511543,"85152","HAND OVER THE CHOCOLATE   SIGN",2,2010-06-08,2.1,"18214","United Kingdom",4.2,5624,"Jun",23,2010,8,"Tuesday"
"141",141,566242,"23301","GARDENERS KNEELING PAD KEEP CALM",12,2011-09-11,1.65,"15502","United Kingdom",19.8,5164,"Sep",37,2011,11,"Sunday"
"142",142,537405,"85045","GREEN CHRISTMAS TREE STRING 20LIGHT",1,2010-12-06,4.95,"17841","United Kingdom",4.95,5443,"Dec",49,2010,6,"Monday"
"143",143,550836,"22788","BROCANTE COAT RACK",1,2011-04-21,9.95,"14759","United Kingdom",9.95,5307,"Apr",16,2011,21,"Thursday"
"144",144,559507,"84755","COLOUR GLASS T-LIGHT HOLDER HANGING",8,2011-07-08,0.65,"15920","United Kingdom",5.2,5229,"Jul",27,2011,8,"Friday"
"145",145,497876,"85062","PEARL CRYSTAL PUMPKIN T-LIGHT HLDR",12,2010-02-14,1.65,"13050","United Kingdom",19.8,5738,"Feb",7,2010,14,"Sunday"
"146",146,546107,"22021","BLUE FELT EASTER EGG BASKET",5,2011-03-09,1.65,"17238","United Kingdom",8.25,5350,"Mar",10,2011,9,"Wednesday"
"147",147,494512,"82582","AREA PATROLLED METAL SIGN",12,2010-01-15,2.1,"14755","United Kingdom",25.2,5768,"Jan",3,2010,15,"Friday"
"148",148,561502,"23034","DRAWER KNOB CERAMIC BLACK",12,2011-07-27,1.45,"14305","United Kingdom",17.4,5210,"Jul",30,2011,27,"Wednesday"
"149",149,530999,"71477","COLOUR GLASS. STAR T-LIGHT HOLDER",8,2010-11-05,3.25,"14911","EIRE",26,5474,"Nov",45,2010,5,"Friday"
"150",150,502613,"21172","PARTY METAL SIGN",1,2010-03-25,1.45,"14535","United Kingdom",1.45,5699,"Mar",12,2010,25,"Thursday"
"151",151,564328,"20712","JUMBO BAG WOODLAND ANIMALS",10,2011-08-24,2.08,"12662","Germany",20.8,5182,"Aug",34,2011,24,"Wednesday"
"152",152,519935,"22674","FRENCH TOILET SIGN BLUE METAL",5,2010-08-22,1.25,"17231","United Kingdom",6.25,5549,"Aug",34,2010,22,"Sunday"
"153",153,524864,"22947","WOODEN ADVENT CALENDAR RED",4,2010-10-01,16.95,"14564","Channel Islands",67.8,5509,"Oct",40,2010,1,"Friday"
"154",154,518219,"21791","VINTAGE HEADS AND TAILS CARD GAME",12,2010-08-05,1.25,"16105","United Kingdom",15,5566,"Aug",31,2010,5,"Thursday"
"155",155,516327,"21982","PACK OF 12 SUKI TISSUES",12,2010-07-19,0.29,"17589","United Kingdom",3.48,5583,"Jul",29,2010,19,"Monday"
"156",156,555501,"23174","REGENCY SUGAR BOWL GREEN",2,2011-06-03,4.15,"15508","United Kingdom",8.3,5264,"Jun",22,2011,3,"Friday"
"157",157,533294,"16161P","WRAP ENGLISH ROSE",25,2010-11-16,0.42,"13081","United Kingdom",10.5,5463,"Nov",46,2010,16,"Tuesday"
"158",158,503867,"21912","VINTAGE SNAKES & LADDERS",4,2010-04-08,3.75,"13712","United Kingdom",15,5685,"Apr",14,2010,8,"Thursday"
"159",159,521470,"22569","FELTCRAFT CUSHION BUTTERFLY",6,2010-09-06,3.75,"16246","United Kingdom",22.5,5534,"Sep",36,2010,6,"Monday"
"160",160,534364,"22727","ALARM CLOCK BAKELIKE RED",4,2010-11-22,3.75,"12681","France",15,5457,"Nov",47,2010,22,"Monday"
"161",161,533821,"22355","CHARLOTTE BAG SUKI DESIGN",20,2010-11-19,0.85,"12562","France",17,5460,"Nov",47,2010,19,"Friday"
"162",162,558383,"82484","WOOD BLACK BOARD ANT WHITE FINISH",2,2011-06-29,7.95,"18075","United Kingdom",15.9,5238,"Jun",26,2011,29,"Wednesday"
"163",163,540397,"84406B","CREAM CUPID HEARTS COAT HANGER",1,2011-01-06,3.25,"13187","United Kingdom",3.25,5412,"Jan",1,2011,6,"Thursday"
"164",164,524002,"22406","MONEY BOX KINGS CHOICE DESIGN",12,2010-09-26,1.25,"13281","United Kingdom",15,5514,"Sep",39,2010,26,"Sunday"
"165",165,507735,"84925F","PSYCHEDELIC WALL THERMOMETER",5,2010-05-11,2.55,"17321","United Kingdom",12.75,5652,"May",19,2010,11,"Tuesday"
"166",166,577533,"82581","TOILET METAL SIGN",1,2011-11-20,0.55,"16877","United Kingdom",0.55,5094,"Nov",47,2011,20,"Sunday"
"167",167,572464,"23000","TRAVEL CARD WALLET TRANSPORT",1,2011-10-24,0.42,"17081","United Kingdom",0.42,5121,"Oct",43,2011,24,"Monday"
"168",168,514319,"47568","ENGLISH ROSE DESIGN PEG BAG",6,2010-07-01,2.1,"12576","Poland",12.6,5601,"Jul",26,2010,1,"Thursday"
"169",169,527064,"71477","COLOUR GLASS. STAR T-LIGHT HOLDER",24,2010-10-14,2.75,"16176","United Kingdom",66,5496,"Oct",41,2010,14,"Thursday"
