"","Invoice","StockCode","Description","Quantity","InvoiceDate","Price","Customer.ID","Country","Revenue"
"59",542274,"22173","METAL 4 HOOK HANGER FRENCH CHATEAU",8,"2011-01-27",2.95,"16782","United Kingdom",23.6
"60",571283,"22098","BOUDOIR SQUARE TISSUE BOX",20,"2011-10-16",0.39,"16533","United Kingdom",7.8
"61",521150,"22413","METAL SIGN TAKE IT OR LEAVE IT",12,"2010-09-02",2.95,"13564","United Kingdom",35.4
"62",579885,"22801","ANTIQUE GLASS PEDESTAL BOWL",1,"2011-11-30",3.75,"15444","United Kingdom",3.75
"63",528621,"22468","BABUSHKA LIGHTS STRING OF 10",2,"2010-10-24",6.75,"14800","United Kingdom",13.5
"64",535263,"22360","GLASS JAR ENGLISH CONFECTIONERY",2,"2010-11-25",2.95,"14710","United Kingdom",5.9
"65",558058,"23093","SMALL PARISIENNE HEART PHOTO FRAME",8,"2011-06-24",2.49,"14766","United Kingdom",19.92
"66",498240,"21242","RED SPOTTY PLATE",16,"2010-02-17",1.69,"12921","United Kingdom",27.04
"67",538473,"21166","COOK WITH WINE METAL SIGN",4,"2010-12-12",1.95,"13668","United Kingdom",7.8
"68",528470,"85173","SET/6 FROG PRINCE T-LIGHT CANDLES",1,"2010-10-22",2.55,"16392","United Kingdom",2.55
"69",580982,"21509","COWBOYS AND INDIANS BIRTHDAY CARD",12,"2011-12-06",0.42,"17861","United Kingdom",5.04
"70",497628,"22384","LUNCH BAG PINK RETROSPOT",2,"2010-02-11",1.65,"15005","United Kingdom",3.3
"71",537153,"22489","PACK OF 12 TRADITIONAL CRAYONS",10,"2010-12-05",0.42,"16718","United Kingdom",4.2
"72",494871,"21644","ASSORTED TUTTI FRUTTI HEART BOX",36,"2010-01-19",1.25,"17706","United Kingdom",45
"73",501010,"21688","SILVER PLATE CANDLE BOWL SMALL",4,"2010-03-11",2.95,"13715","United Kingdom",11.8
"74",529351,"22909","SET OF 20 VINTAGE CHRISTMAS NAPKINS",12,"2010-10-28",0.85,"12766","Portugal",10.2
"75",490473,"21687","SILVER PLATE CANDLE BOWL LARGE",2,"2009-12-06",3.75,"15860","United Kingdom",7.5
"76",577057,"22328","ROUND SNACK BOXES SET OF 4 FRUITS",1,"2011-11-17",2.95,"12748","United Kingdom",2.95
"77",520041,"22629","SPACEBOY LUNCH BOX",12,"2010-08-23",1.95,"13081","United Kingdom",23.4
"78",539957,"22616","PACK OF 12 LONDON TISSUES",24,"2010-12-23",0.29,"12585","Germany",6.96
"79",512766,"85174","S/4 CACTI CANDLES",1,"2010-06-17",4.95,"13077","United Kingdom",4.95
"80",529935,"22297","HEART IVORY TRELLIS SMALL",1,"2010-10-31",1.25,"17449","United Kingdom",1.25
"81",567180,"22632","HAND WARMER RED RETROSPOT",2,"2011-09-18",2.1,"17802","United Kingdom",4.2
"82",562460,"23201","JUMBO BAG ALPHABET",1,"2011-08-05",2.08,"17841","United Kingdom",2.08
"83",563926,"21221","SET/4 BADGES CUTE CREATURES",10,"2011-08-21",1.25,"12553","France",12.5
"84",500381,"85206B","PINK FELT EASTER EGG BASKET",6,"2010-03-08",1.65,"13148","United Kingdom",9.9
"85",490002,"17164D","ASS COL SMALL SAND FROG P'WEIGHT",4,"2009-12-03",0.42,"17322","United Kingdom",1.68
"86",490312,"22139","RETRO SPOT TEA SET CERAMIC 11 PC",4,"2009-12-04",4.95,"17961","United Kingdom",19.8
"87",567470,"85123A","WHITE HANGING HEART T-LIGHT HOLDER",15,"2011-09-20",2.95,"16624","United Kingdom",44.25
"88",536813,"35957","SMALLFOLKART BAUBLE CHRISTMAS DEC",48,"2010-12-02",0.42,"15646","United Kingdom",20.16
"89",498564,"21865","PINK UNION JACK  PASSPORT COVER",1,"2010-02-21",2.1,"14505","United Kingdom",2.1
"90",572227,"23395","BELLE JARDINIERE CUSHION COVER",2,"2011-10-21",3.75,"15051","United Kingdom",7.5
"91",560033,"22910","PAPER CHAIN KIT VINTAGE CHRISTMAS",6,"2011-07-14",2.95,"12388","Australia",17.7
"92",572567,"22416","SET OF 36 DOILIES SPACEBOY DESIGN",12,"2011-10-25",1.45,"12398","Switzerland",17.4
"93",538852,"22722","SET OF 6 SPICE TINS PANTRY DESIGN",1,"2010-12-14",3.95,"17372","United Kingdom",3.95
"94",500252,"22417","PACK OF 60 SPACEBOY CAKE CASES",48,"2010-03-05",0.55,"15607","United Kingdom",26.4
"95",562581,"23237","SET OF 4 KNICK KNACK TINS LEAF",2,"2011-08-07",4.15,"15860","United Kingdom",8.3
"96",521496,"22757","LARGE RED BABUSHKA NOTEBOOK",12,"2010-09-06",1.25,"12510","Spain",15
"97",539395,"22752","SET 7 BABUSHKA NESTING BOXES",6,"2010-12-17",8.5,"12471","Germany",51
"98",535815,"85152","HAND OVER THE CHOCOLATE   SIGN",2,"2010-11-28",2.1,"16356","United Kingdom",4.2
"99",512847,"84837","WHITE SWEETHEARTS CABINET 4 DRAWERS",1,"2010-06-18",12.75,"18170","United Kingdom",12.75
"100",507376,"21056","DOCTOR'S BAG SOFT TOY",1,"2010-05-09",8.95,"13979","United Kingdom",8.95
"101",570964,"23320","GIANT 50'S CHRISTMAS CRACKER",12,"2011-10-13",2.89,"12766","Portugal",34.68
"102",581006,"23209","LUNCH BAG VINTAGE DOILY",10,"2011-12-07",1.65,"14911","EIRE",16.5
"103",567385,"22950","36 DOILIES VINTAGE CHRISTMAS",288,"2011-09-20",1.45,"14866","United Kingdom",417.6
"104",516567,"21410","COUNTRY COTTAGE  DOORSTOP GREEN",2,"2010-07-21",4.25,"16529","United Kingdom",8.5
"105",528742,"21154","RED RETROSPOT OVEN GLOVE",6,"2010-10-24",1.25,"13118","United Kingdom",7.5
"106",522052,"22666","RECIPE BOX PANTRY YELLOW DESIGN",6,"2010-09-10",2.95,"13319","United Kingdom",17.7
"107",505142,"21175","GIN + TONIC DIET METAL SIGN",12,"2010-04-20",2.1,"17138","United Kingdom",25.2
"108",551281,"20723","STRAWBERRY CHARLOTTE BAG",10,"2011-04-27",0.85,"13571","United Kingdom",8.5
"109",540640,"85099B","JUMBO BAG RED RETROSPOT",3,"2011-01-10",1.95,"14527","United Kingdom",5.85
"110",554015,"20724","RED RETROSPOT CHARLOTTE BAG",10,"2011-05-20",0.85,"17644","United Kingdom",8.5
"111",494866,"22262","FELT EGG COSY CHICKEN",1,"2010-01-19",0.85,"16253","United Kingdom",0.85
"112",575726,"20727","LUNCH BAG  BLACK SKULL.",1,"2011-11-10",1.65,"16791","United Kingdom",1.65
"113",507640,"22558","CLOTHES PEGS RETROSPOT PACK 24",12,"2010-05-10",1.25,"13319","United Kingdom",15
"114",551982,"85099B","JUMBO BAG RED RETROSPOT",2,"2011-05-05",2.08,"15023","United Kingdom",4.16
"115",550196,"84991","60 TEATIME FAIRY CAKE CASES",6,"2011-04-15",0.55,"14796","United Kingdom",3.3
"116",550834,"21977","PACK OF 60 PINK PAISLEY CAKE CASES",2,"2011-04-21",0.55,"14730","United Kingdom",1.1
"117",492204,"21977","PACK OF 60 PINK PAISLEY CAKE CASES",24,"2009-12-15",0.55,"15785","United Kingdom",13.2
"118",534003,"85018D","YULETIDE IMAGES S/6 PAPER BOXES",5,"2010-11-19",2.55,"17589","United Kingdom",12.75
"119",498762,"16161E","WRAP BOUDOIR",50,"2010-02-22",0.1,"14081","United Kingdom",5
"120",502327,"22283","6 EGG HOUSE PAINTED WOOD",4,"2010-03-24",7.95,"13252","United Kingdom",31.8
"121",579091,"23202","JUMBO BAG VINTAGE LEAF",10,"2011-11-28",2.08,"14893","United Kingdom",20.8
"122",545928,"71279","PINK GLASS CANDLEHOLDER",6,"2011-03-08",2.95,"14407","United Kingdom",17.7
"123",545708,"84879","ASSORTED COLOUR BIRD ORNAMENT",8,"2011-03-07",1.69,"14915","United Kingdom",13.52
"124",573904,"23353","6 GIFT TAGS VINTAGE CHRISTMAS",3,"2011-11-01",0.83,"14505","United Kingdom",2.49
"125",526028,"20725","LUNCH BAG RED RETROSPOT",1,"2010-10-08",1.65,"16549","United Kingdom",1.65
"126",520508,"84782C","GREEN 3 TIER GLASS PLATE STAND",8,"2010-08-26",3.95,"13802","United Kingdom",31.6
"127",543179,"22268","EASTER DECORATION SITTING BUNNY",1,"2011-02-04",0.85,"12754","Japan",0.85
"128",532976,"21644","ASSORTED TUTTI FRUTTI HEART BOX",12,"2010-11-15",1.25,"16919","United Kingdom",15
"129",571433,"22966","GINGERBREAD MAN COOKIE CUTTER",12,"2011-10-17",1.25,"13015","United Kingdom",15
"130",506821,"85214","TUB 24 PINK FLOWER PEGS",12,"2010-05-04",1.65,"17644","United Kingdom",19.8
"131",581133,"22754","SMALL RED BABUSHKA NOTEBOOK",24,"2011-12-07",0.21,"14904","United Kingdom",5.04
"132",513956,"47556B","TEA TIME TEA TOWELS",8,"2010-06-29",2.95,"15808","United Kingdom",23.6
"133",551274,"21770","OPEN CLOSED METAL SIGN",2,"2011-04-27",4.95,"14235","United Kingdom",9.9
"134",567720,"85049E","SCANDINAVIAN REDS RIBBONS",12,"2011-09-22",1.25,"14911","EIRE",15
"135",519508,"21704","BAG 250g SWIRLY MARBLES",12,"2010-08-17",0.85,"15072","United Kingdom",10.2
"136",509601,"22382","LUNCH BAG SPACEBOY DESIGN",1,"2010-05-24",1.65,"13201","United Kingdom",1.65
"137",490899,"84032B","CHARLIE + LOLA RED HOT WATER BOTTLE",6,"2009-12-08",2.95,"16732","United Kingdom",17.7
"138",566951,"22113","GREY HEART HOT WATER BOTTLE",4,"2011-09-15",4.25,"17293","United Kingdom",17
"139",525082,"21495","SKULLS AND CROSSBONES WRAP",25,"2010-10-03",0.42,"14455","United Kingdom",10.5
"140",511543,"85152","HAND OVER THE CHOCOLATE   SIGN",2,"2010-06-08",2.1,"18214","United Kingdom",4.2
"141",566242,"23301","GARDENERS KNEELING PAD KEEP CALM",12,"2011-09-11",1.65,"15502","United Kingdom",19.8
"142",537405,"85045","GREEN CHRISTMAS TREE STRING 20LIGHT",1,"2010-12-06",4.95,"17841","United Kingdom",4.95
"143",550836,"22788","BROCANTE COAT RACK",1,"2011-04-21",9.95,"14759","United Kingdom",9.95
"144",559507,"84755","COLOUR GLASS T-LIGHT HOLDER HANGING",8,"2011-07-08",0.65,"15920","United Kingdom",5.2
"145",497876,"85062","PEARL CRYSTAL PUMPKIN T-LIGHT HLDR",12,"2010-02-14",1.65,"13050","United Kingdom",19.8
"146",546107,"22021","BLUE FELT EASTER EGG BASKET",5,"2011-03-09",1.65,"17238","United Kingdom",8.25
"147",494512,"82582","AREA PATROLLED METAL SIGN",12,"2010-01-15",2.1,"14755","United Kingdom",25.2
"148",561502,"23034","DRAWER KNOB CERAMIC BLACK",12,"2011-07-27",1.45,"14305","United Kingdom",17.4
"149",530999,"71477","COLOUR GLASS. STAR T-LIGHT HOLDER",8,"2010-11-05",3.25,"14911","EIRE",26
"150",502613,"21172","PARTY METAL SIGN",1,"2010-03-25",1.45,"14535","United Kingdom",1.45
"151",564328,"20712","JUMBO BAG WOODLAND ANIMALS",10,"2011-08-24",2.08,"12662","Germany",20.8
"152",519935,"22674","FRENCH TOILET SIGN BLUE METAL",5,"2010-08-22",1.25,"17231","United Kingdom",6.25
"153",524864,"22947","WOODEN ADVENT CALENDAR RED",4,"2010-10-01",16.95,"14564","Channel Islands",67.8
"154",518219,"21791","VINTAGE HEADS AND TAILS CARD GAME",12,"2010-08-05",1.25,"16105","United Kingdom",15
"155",516327,"21982","PACK OF 12 SUKI TISSUES",12,"2010-07-19",0.29,"17589","United Kingdom",3.48
"156",555501,"23174","REGENCY SUGAR BOWL GREEN",2,"2011-06-03",4.15,"15508","United Kingdom",8.3
"157",533294,"16161P","WRAP ENGLISH ROSE",25,"2010-11-16",0.42,"13081","United Kingdom",10.5
"158",503867,"21912","VINTAGE SNAKES & LADDERS",4,"2010-04-08",3.75,"13712","United Kingdom",15
"159",521470,"22569","FELTCRAFT CUSHION BUTTERFLY",6,"2010-09-06",3.75,"16246","United Kingdom",22.5
"160",534364,"22727","ALARM CLOCK BAKELIKE RED",4,"2010-11-22",3.75,"12681","France",15
"161",533821,"22355","CHARLOTTE BAG SUKI DESIGN",20,"2010-11-19",0.85,"12562","France",17
"162",558383,"82484","WOOD BLACK BOARD ANT WHITE FINISH",2,"2011-06-29",7.95,"18075","United Kingdom",15.9
"163",540397,"84406B","CREAM CUPID HEARTS COAT HANGER",1,"2011-01-06",3.25,"13187","United Kingdom",3.25
"164",524002,"22406","MONEY BOX KINGS CHOICE DESIGN",12,"2010-09-26",1.25,"13281","United Kingdom",15
"165",507735,"84925F","PSYCHEDELIC WALL THERMOMETER",5,"2010-05-11",2.55,"17321","United Kingdom",12.75
"166",577533,"82581","TOILET METAL SIGN",1,"2011-11-20",0.55,"16877","United Kingdom",0.55
"167",572464,"23000","TRAVEL CARD WALLET TRANSPORT",1,"2011-10-24",0.42,"17081","United Kingdom",0.42
"168",514319,"47568","ENGLISH ROSE DESIGN PEG BAG",6,"2010-07-01",2.1,"12576","Poland",12.6
"169",527064,"71477","COLOUR GLASS. STAR T-LIGHT HOLDER",24,"2010-10-14",2.75,"16176","United Kingdom",66
"170",543447,"21586","KINGS CHOICE GIANT TUBE MATCHES",12,"2011-02-08",2.55,"16265","United Kingdom",30.6
"171",518159,"16169M","WRAP DAISY CARPET",50,"2010-08-05",0.19,"13239","United Kingdom",9.5
"172",518477,"79191B","RETRO PLASTIC POLKA TRAY",1,"2010-08-09",0.85,"15013","United Kingdom",0.85
"173",578942,"23571","TRADITIONAL NAUGHTS & CROSSES",4,"2011-11-27",1.65,"17288","United Kingdom",6.6
"174",535974,"22158","3 HEARTS HANGING DECORATION RUSTIC",1,"2010-11-29",2.95,"16413","United Kingdom",2.95
"175",576690,"22898","CHILDRENS APRON APPLES DESIGN",2,"2011-11-16",1.95,"15900","United Kingdom",3.9
"176",495183,"20914","SET/5 RED SPOTTY LID GLASS BOWLS",6,"2010-01-21",2.95,"15296","United Kingdom",17.7
"177",494668,"84991","60 TEATIME FAIRY CAKE CASES",24,"2010-01-17",0.55,"13616","United Kingdom",13.2
"178",503895,"84993B","75 BLACK PETIT FOUR CASES",1,"2010-04-08",0.42,"13278","United Kingdom",0.42
"179",533478,"85230G","ORANGE VOTIVE CANDLE",24,"2010-11-17",0.29,"15402","United Kingdom",6.96
"180",566443,"22819","BIRTHDAY CARD, RETRO SPOT",12,"2011-09-12",0.42,"17071","United Kingdom",5.04
"181",564495,"22841","ROUND CAKE TIN VINTAGE GREEN",2,"2011-08-25",7.95,"17719","United Kingdom",15.9
"182",534890,"22311","OFFICE MUG WARMER BLACK+SILVER",1,"2010-11-24",2.95,"16204","United Kingdom",2.95
"183",558105,"22652","TRAVEL SEWING KIT",3,"2011-06-26",1.65,"15644","United Kingdom",4.95
"184",528336,"22600","CHRISTMAS RETROSPOT STAR WOOD",6,"2010-10-21",0.85,"15995","United Kingdom",5.1
"185",568712,"23211","RED ROCKING HORSE HAND PAINTED",4,"2011-09-28",1.25,"17841","United Kingdom",5
"186",499303,"21870","I CAN ONLY PLEASE ONE PERSON MUG",12,"2010-02-26",1.25,"13089","United Kingdom",15
"187",553515,"22413","METAL SIGN TAKE IT OR LEAVE IT",2,"2011-05-17",2.95,"17515","United Kingdom",5.9
"188",510180,"20674","GREEN SPOTTY BOWL",5,"2010-05-27",1.25,"17238","United Kingdom",6.25
"189",501806,"21918","SET 12 KIDS COLOUR  CHALK STICKS",12,"2010-03-19",0.42,"17673","United Kingdom",5.04
"190",575908,"22553","PLASTERS IN TIN SKULLS",12,"2011-11-11",1.65,"13091","United Kingdom",19.8
"191",580160,"22728","ALARM CLOCK BAKELIKE PINK",8,"2011-12-02",3.75,"12700","France",30
"192",579872,"23508","MINI PLAYING CARDS DOLLY GIRL",14,"2011-11-30",0.42,"14085","United Kingdom",5.88
"193",578662,"23172","REGENCY TEA PLATE PINK",1,"2011-11-24",1.65,"17516","United Kingdom",1.65
"194",500541,"21410","COUNTRY COTTAGE  DOORSTOP GREEN",3,"2010-03-08",4.25,"18245","United Kingdom",12.75
"195",572324,"23064","CINDERELLA CHANDELIER",40,"2011-10-24",10,"14607","United Kingdom",400
"196",575867,"22728","ALARM CLOCK BAKELIKE PINK",2,"2011-11-11",3.75,"15034","United Kingdom",7.5
"197",531726,"22736","RIBBON REEL MAKING SNOWMEN",5,"2010-11-09",1.65,"17274","United Kingdom",8.25
"198",519832,"21982","PACK OF 12 SUKI TISSUES",4,"2010-08-20",0.29,"16401","United Kingdom",1.16
"199",495178,"22097","SWALLOW SQUARE TISSUE BOX",4,"2010-01-21",1.25,"13735","United Kingdom",5
"200",574054,"48185","DOORMAT FAIRY CAKE",4,"2011-11-02",8.25,"18104","United Kingdom",33
"201",515674,"21844","RED RETROSPOT MUG",6,"2010-07-14",2.95,"13013","United Kingdom",17.7
"202",523964,"22294","HEART FILIGREE DOVE  SMALL",24,"2010-09-26",1.25,"16709","United Kingdom",30
"203",517724,"82486","WOOD S/3 CABINET ANT WHITE FINISH",2,"2010-08-01",7.95,"15547","United Kingdom",15.9
"204",531482,"22090","PAPER BUNTING RETROSPOT",6,"2010-11-08",2.95,"15777","United Kingdom",17.7
"205",541267,"37450","CERAMIC CAKE BOWL + HANGING CAKES",6,"2011-01-17",2.95,"12779","Poland",17.7
"206",523967,"21034","REX CASH+CARRY JUMBO SHOPPER",15,"2010-09-26",0.95,"16008","United Kingdom",14.25
"207",516186,"21745","GAOLERS KEYS DECORATIVE GARDEN",24,"2010-07-18",3.39,"18097","United Kingdom",81.36
"208",496237,"21955","DOORMAT UNION JACK GUNS AND ROSES",10,"2010-01-29",5.95,"17677","United Kingdom",59.5
"209",496488,"82553","POP'S GREASY SPOON METAL SIGN",1,"2010-02-01",1.65,"14606","United Kingdom",1.65
"210",567096,"35818P","ACRYLIC JEWEL ICICLE, PINK",35,"2011-09-16",0.38,"15099","United Kingdom",13.3
"211",520626,"21992","VINTAGE PAISLEY STATIONERY SET",1,"2010-08-27",2.95,"17869","United Kingdom",2.95
"212",573126,"21746","SMALL RED RETROSPOT WINDMILL",12,"2011-10-27",1.25,"15738","United Kingdom",15
"213",494658,"21836","GINGHAM OVEN GLOVE RED HEART",2,"2010-01-17",3.75,"13782","United Kingdom",7.5
"214",522332,"21231","SWEETHEART CERAMIC TRINKET BOX",12,"2010-09-14",1.25,"15600","United Kingdom",15
"215",577365,"23344","JUMBO BAG 50'S CHRISTMAS",20,"2011-11-18",2.08,"17063","United Kingdom",41.6
"216",500353,"22303","COFFEE MUG APPLES DESIGN",6,"2010-03-07",2.55,"12668","Germany",15.3
"217",526660,"22697","GREEN REGENCY TEACUP AND SAUCER",6,"2010-10-12",2.95,"13013","United Kingdom",17.7
"218",556776,"21750","LARGE SKULL WINDMILL",1,"2011-06-14",2.1,"14730","United Kingdom",2.1
"219",568223,"POST","POSTAGE",2,"2011-09-26",15,"12412","Denmark",30
"220",568517,"23323","WHITE WICKER STAR",1,"2011-09-27",2.1,"14456","United Kingdom",2.1
"221",533311,"84596F","SMALL MARSHMALLOWS PINK BOWL",2,"2010-11-16",1.25,"16904","United Kingdom",2.5
"222",573320,"22726","ALARM CLOCK BAKELIKE GREEN",50,"2011-10-30",3.39,"15513","United Kingdom",169.5
"223",561694,"22193","RED DINER WALL CLOCK",2,"2011-07-29",8.5,"16147","United Kingdom",17
"224",489702,"20963","APPLE BATH SPONGE",10,"2009-12-02",1.25,"17511","United Kingdom",12.5
"225",560186,"22748","POPPY'S PLAYHOUSE KITCHEN",1,"2011-07-15",2.1,"17266","United Kingdom",2.1
"226",569046,"22600","CHRISTMAS RETROSPOT STAR WOOD",12,"2011-09-30",0.85,"14422","United Kingdom",10.2
"227",563201,"48194","DOORMAT HEARTS",1,"2011-08-14",7.95,"13838","United Kingdom",7.95
"228",502056,"90010B","BLACK/WHITE GLASS/SILVER BRACELET",2,"2010-03-22",8.95,"17138","United Kingdom",17.9
"229",571905,"22568","FELTCRAFT CUSHION OWL",4,"2011-10-19",3.75,"12370","Cyprus",15
"230",561073,"22978","PANTRY ROLLING PIN",12,"2011-07-24",3.75,"13408","United Kingdom",45
"231",509356,"22429","ENAMEL MEASURING JUG CREAM",4,"2010-05-21",4.25,"13148","United Kingdom",17
"232",526901,"20750","RED RETROSPOT MINI CASES",1,"2010-10-13",7.95,"17817","United Kingdom",7.95
"233",563016,"16161U","WRAP SUKI AND FRIENDS",25,"2011-08-11",0.42,"15358","United Kingdom",10.5
"234",566477,"22699","ROSES REGENCY TEACUP AND SAUCER",6,"2011-09-13",2.95,"14359","United Kingdom",17.7
"235",511789,"21246","RED SPOTTY BIG BOWL",1,"2010-06-10",4.95,"14606","United Kingdom",4.95
"236",528397,"84406B","CREAM CUPID HEARTS COAT HANGER",8,"2010-10-22",3.25,"12972","United Kingdom",26
"237",550437,"21204","DAISIES  HONEYCOMB GARLAND",3,"2011-04-18",1.65,"16923","United Kingdom",4.95
